query,tmdb_id,title,year,language,vote_average,vote_count,genres,country,overview
custom,687163,Project Hail Mary,2026,en,8.626,4059,"Science Fiction, Adventure",,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
custom,157336,Interstellar,2014,en,8.474,39797,"Adventure, Drama, Science Fiction",,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
custom,324857,Spider-Man: Into the Spider-Verse,2018,en,8.393,17204,"Animation, Action, Adventure, Science Fiction",,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."
custom,1891,The Empire Strikes Back,1980,en,8.393,18391,"Adventure, Action, Science Fiction",,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
custom,27205,Inception,2010,en,8.372,39241,"Action, Science Fiction, Adventure",,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
custom,569094,Spider-Man: Across the Spider-Verse,2023,en,8.335,8594,"Animation, Action, Adventure, Science Fiction",,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
custom,105,Back to the Future,1985,en,8.326,21783,"Adventure, Comedy, Science Fiction",,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
custom,1184918,The Wild Robot,2024,en,8.308,6070,"Family, Animation, Science Fiction, Adventure",,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
custom,18491,Neon Genesis Evangelion: The End of Evangelion,1997,ja,8.252,1850,"Animation, Science Fiction, Drama, Fantasy",,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity."
custom,603,The Matrix,1999,en,8.246,27869,"Action, Science Fiction",,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
custom,299536,Avengers: Infinity War,2018,en,8.235,31972,"Adventure, Action, Science Fiction",,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
custom,299534,Avengers: Endgame,2019,en,8.235,27729,"Adventure, Science Fiction, Action",,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
custom,1124,The Prestige,2006,en,8.208,17571,"Drama, Mystery, Science Fiction",,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
custom,11,Star Wars,1977,en,8.2,22309,"Adventure, Action, Science Fiction",,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
custom,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,ja,8.204,944,"Animation, Action, Science Fiction, Drama",,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion."
custom,313106,Doctor Who: The Day of the Doctor,2013,en,8.2,771,"Science Fiction, Adventure",,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him."
custom,185,A Clockwork Orange,1971,en,8.177,13808,"Science Fiction, Crime",,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?"
custom,348,Alien,1979,en,8.171,16345,"Horror, Science Fiction",,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
custom,280,Terminator 2: Judgment Day,1991,en,8.148,14264,"Action, Thriller, Science Fiction",,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse."
custom,693134,Dune: Part Two,2024,en,8.127,7949,"Science Fiction, Adventure",,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee."
custom,1327819,Hoppers,2026,en,8.115,1218,"Adventure, Animation, Comedy, Family, Science Fiction",,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined."
custom,10681,WALL·E,2008,en,8.112,20252,"Animation, Family, Science Fiction",,"After hundreds of years doing what he was built for, WALL•E— a robot designed to clean up the earth—discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen."
custom,1398,Stalker,1979,ru,8.094,2495,"Science Fiction, Drama",,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted."
custom,38,Eternal Sunshine of the Spotless Mind,2004,en,8.1,16324,"Science Fiction, Drama, Romance",,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
custom,19,Metropolis,1927,de,8.1,3086,"Drama, Science Fiction",,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences."
custom,1091,The Thing,1982,en,8.071,7915,"Horror, Mystery, Science Fiction",,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
custom,282848,Doctor Who: The Time of the Doctor,2013,en,8.067,312,"Drama, Science Fiction, TV Movie",,"Orbiting a quiet backwater planet, the massed forces of the universe's deadliest species gather, drawn to a mysterious message that echoes out to the stars. And amongst them, the Doctor. Rescuing Clara from a family Christmas dinner, the Time Lord and his best friend must learn what this enigmatic signal means for his own fate and that of the universe."
custom,62,2001: A Space Odyssey,1968,en,8.049,12572,"Science Fiction, Mystery, Adventure",,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
custom,829402,Ultraman: Rising,2024,en,8.038,390,"Animation, Science Fiction, Family, Action",,"A star athlete reluctantly returns home to take over his father's duties as Ultraman, shielding Tokyo from giant monsters as he becomes a legendary hero."
custom,24428,The Avengers,2012,en,8.03,37988,"Science Fiction, Action, Adventure",,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
custom,205081,Codename: Kids Next Door: Operation Z.E.R.O.,2006,en,7.986,245,"Animation, Science Fiction, TV Movie, Adventure, Family, Comedy, Fantasy, Mystery, Action",,"The villains of the Kids Next Door, lead by Father, join forces to resurrect the Ultimate Evil, Grandfather, a tyrant who once ruled the world many years ago when most of the villains were themselves kids. However, Father disgraced him that he can't even try to destroy the KND and the Villains were quickly betrayed when they are turned into Senior Citizombies, creatures that are immortal and can transform any living creature into one of them and slaves who are forced to make Tapioca to refuel Grandfather so he can find and destroy the Book of K.N.D."
custom,329,Jurassic Park,1993,en,8.0,17839,"Adventure, Science Fiction",,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
custom,698687,Transformers One,2024,en,7.966,1613,"Animation, Science Fiction, Adventure, Family",,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever."
custom,838240,Robot Dreams,2023,es,7.964,795,"Animation, Drama, Comedy, Science Fiction",,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?
custom,679,Aliens,1986,en,7.962,10837,"Action, Thriller, Science Fiction",,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426."
custom,10386,The Iron Giant,1999,en,7.954,6154,"Animation, Drama, Family, Science Fiction",,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
custom,315620,Doctor Who: A Christmas Carol,2010,en,7.947,246,"Science Fiction, Drama",,"Amy Pond and Rory Williams are trapped on a crashing space liner, and the only way the Eleventh Doctor can rescue them is to save the soul of a lonely old miser. But is Kazran Sardick, the richest man in Sardicktown, beyond redemption? And what is lurking in the fogs of Christmas Eve?"
custom,149,Akira,1988,ja,7.945,4766,"Animation, Science Fiction, Action",,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.
custom,78,Blade Runner,1982,en,7.937,14963,"Science Fiction, Drama, Thriller",,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
custom,634649,Spider-Man: No Way Home,2021,en,7.934,21968,"Action, Adventure, Science Fiction",,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
custom,281979,Doctor Who: The Waters of Mars,2009,en,7.925,234,"Horror, Science Fiction, Drama, Mystery, Adventure, TV Movie",,"In a Mars base, the inhabitants are being infected by a mysterious water creature which takes over its victims. The Doctor is thrust into the middle of this catastrophe, knowing a larger one is waiting around the corner."
custom,447365,Guardians of the Galaxy Vol. 3,2023,en,7.928,8304,"Science Fiction, Adventure, Action",,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
