query,tmdb_id,title,year,language,vote_average,vote_count,genres,country,keywords,crew,overview
custom,687163,Project Hail Mary,2026,en,8.625,4069,"Science Fiction, Adventure",,"[""friendship"", ""coma"", ""based on novel or book"", ""bravery"", ""sun"", ""language barrier"", ""space travel"", ""space mission"", ""alien"", ""space"", ""memory loss"", ""suicide mission"", ""astronaut"", ""scientist"", ""science teacher"", ""save the planet"", ""wonder"", ""spaceship"", ""interspecies friendship"", ""intense"", ""compassionate"", ""disheartening"", ""hopeful""]","{""director"": [""Phil Lord"", ""Christopher Miller""], ""writers"": [""Drew Goddard""], ""cinematographer"": [""Greig Fraser""], ""composer"": [""Daniel Pemberton""], ""editor"": [""Joel Negron""]}","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
custom,157336,Interstellar,2014,en,8.474,39801,"Adventure, Drama, Science Fiction",,"[""rescue"", ""future"", ""spacecraft"", ""race against time"", ""artificial intelligence (a.i.)"", ""nasa"", ""time warp"", ""dystopia"", ""expedition"", ""time travel"", ""space travel"", ""wormhole"", ""famine"", ""hibernation"", ""black hole"", ""quantum mechanics"", ""family relationships"", ""love"", ""space"", ""apocalypse"", ""planet"", ""robot"", ""astronaut"", ""scientist"", ""single father"", ""farmer"", ""space station"", ""gravity"", ""space adventure"", ""quest"", ""time paradox"", ""time-manipulation"", ""cryonics"", ""father daughter relationship"", ""2060s""]","{""director"": [""Christopher Nolan""], ""writers"": [""Jonathan Nolan"", ""Christopher Nolan""], ""cinematographer"": [""Hoyte van Hoytema""], ""composer"": [""Hans Zimmer""], ""editor"": [""Lee Smith""]}",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
custom,324857,Spider-Man: Into the Spider-Verse,2018,en,8.393,17205,"Animation, Action, Adventure, Science Fiction",,"[""superhero"", ""based on comic"", ""aftercreditsstinger"", ""alternate universe""]","{""director"": [""Bob Persichetti"", ""Peter Ramsey"", ""Rodney Rothman""], ""writers"": [""Phil Lord"", ""Rodney Rothman""], ""cinematographer"": [], ""composer"": [""Daniel Pemberton""], ""editor"": [""Matthew Landon"", ""Arthur D. Noda"", ""Robert Fisher Jr.""]}","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."
custom,27205,Inception,2010,en,8.372,39243,"Action, Science Fiction, Adventure",,"[""mission"", ""dreams"", ""kidnapping"", ""spy"", ""allegory"", ""intellectual"", ""manipulation"", ""heist"", ""memory"", ""dream world"", ""subconscious"", ""high concept"", ""dream""]","{""director"": [""Christopher Nolan""], ""writers"": [""Christopher Nolan""], ""cinematographer"": [""Wally Pfister""], ""composer"": [""Hans Zimmer""], ""editor"": [""Lee Smith""]}","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
custom,569094,Spider-Man: Across the Spider-Verse,2023,en,8.335,8595,"Animation, Action, Adventure, Science Fiction",,"[""new york city"", ""hero"", ""double life"", ""sacrifice"", ""secret identity"", ""superhero"", ""villain"", ""portal"", ""based on comic"", ""sequel"", ""romance"", ""alter ego"", ""alternate dimension"", ""parenting"", ""family"", ""alternate version"", ""super power"", ""brooklyn, new york city"", ""superhero team"", ""spider bite"", ""super villain"", ""cliffhanger"", ""masked superhero"", ""teenage romance"", ""young heroes"", ""teen superhero"", ""teen social issues"", ""chelsea"", ""alternate universe"", ""superhero teamup"", ""female superhero"", ""slow burn romance"", ""interdimensional travel"", ""ambiguous"", ""clich\u00e9"", ""enthusiastic"", ""excited"", ""vibrant""]","{""director"": [""Kemp Powers"", ""Justin K. Thompson"", ""Joaquim Dos Santos""], ""writers"": [""Phil Lord"", ""Christopher Miller"", ""David Callaham""], ""cinematographer"": [], ""composer"": [""Daniel Pemberton""], ""editor"": [""Michael Andrews""]}","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
custom,105,Back to the Future,1985,en,8.326,21784,"Adventure, Comedy, Science Fiction",,"[""flying car"", ""race against time"", ""clock tower"", ""car race"", ""lightning"", ""guitar"", ""inventor"", ""journey in the past"", ""invention"", ""time travel"", ""bullying"", ""mad scientist"", ""love"", ""fish out of water"", ""terrorism"", ""teenage love"", ""destiny"", ""burlesque"", ""hidden identity"", ""teenage life"", ""changing the past or future"", ""1950s""]","{""director"": [""Robert Zemeckis""], ""writers"": [""Robert Zemeckis"", ""Bob Gale""], ""cinematographer"": [""Dean Cundey""], ""composer"": [""Alan Silvestri""], ""editor"": [""Harry Keramidas"", ""Arthur Schmidt""]}","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
custom,526429,Made in Abyss: Wandering Twilight,2019,ja,8.315,138,"Animation, Adventure, Fantasy, Mystery, Science Fiction",,"[""child abuse"", ""immortality"", ""underground"", ""exploration"", ""survival"", ""tragedy"", ""compilation"", ""based on manga"", ""robot"", ""mature"", ""adventurer"", ""dark fantasy"", ""journey"", ""edited from tv series"", ""seinen"", ""anime""]","{""director"": [""Masayuki Kojima""], ""writers"": [""Hideyuki Kurata""], ""cinematographer"": [], ""composer"": [""Kevin Penkin""], ""editor"": []}",Second compilation movie of the TV series which covers episodes 9-13. Riko and Reg descend to the third and fourth layer where Riko has her first experience of the Curse.
custom,1184918,The Wild Robot,2024,en,8.308,6072,"Family, Animation, Science Fiction, Adventure",,"[""island"", ""parent child relationship"", ""robot"", ""based on children's book"", ""kindness"", ""goose"", ""aftercreditsstinger"", ""duringcreditsstinger"", ""shipwrecked"", ""kids"", ""adopted son"", ""audacious"", ""awestruck"", ""woodland animals""]","{""director"": [""Chris Sanders""], ""writers"": [""Chris Sanders""], ""cinematographer"": [], ""composer"": [""Kris Bowers""], ""editor"": [""Mary Blee""]}","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
custom,72720,Hot Wheels AcceleRacers: Ignition,2005,en,8.283,120,"Science Fiction, Family, Animation, Action",,"[""alternate dimension"", ""race"", ""race car"", ""hot wheels""]","{""director"": [""Gino Nichele"", ""Andrew Duncan""], ""writers"": [""Mark Edward Edens""], ""cinematographer"": [], ""composer"": [""Brian Carson""], ""editor"": []}","Two rival race teams, the Teku and the Metal Maniacs, are recruited by Dr. Peter Tezla to race in the fantastic Racing Realms and retrieve the all-powerful AcceleChargers before they fall into the hands of the deadly Racing Drones. Our drivers race through the Storm and Swamp Realms."
custom,18491,Neon Genesis Evangelion: The End of Evangelion,1997,ja,8.252,1850,"Animation, Science Fiction, Drama, Fantasy",,"[""philosophy"", ""insanity"", ""post-apocalyptic future"", ""futuristic"", ""end of the world"", ""mecha"", ""avant-garde"", ""meaningless existence"", ""rebirth"", ""anime"", ""philosophical"", ""psychological terror"", ""complex"", ""anxious"", ""based on tv series"", ""introspective"", ""existential horror"", ""alternate ending"", ""experimental surrealism"", ""intense"", ""distressing"", ""sincere"", ""sympathetic""]","{""director"": [""Kazuya Tsurumaki"", ""Hideaki Anno""], ""writers"": [""Hideaki Anno""], ""cinematographer"": [""Hisao Shirai""], ""composer"": [""Shiro Sagisu""], ""editor"": [""Sachiko Miki""]}","SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity."
